record_id,title,url,source_name,previous_relevance_code,decision,review_note
3964,Haunted Houses,https://www.abc.net.au/listen/programs/spiritofthings/haunted-houses/4124218,Australian Broadcasting Corporation,scope_excluded,scope_excluded,place not source-stated in retained excerpt; general hidden-object/evil-spirit discussion rather than distinct mapped ABC place narrative
3965,Landscape and islands,https://www.abc.net.au/listen/programs/scienceshow/landscape-and-islands/105001292,Australian Broadcasting Corporation,scope_excluded,scope_excluded,ghost mushrooms/bioluminescence false positive; no supernatural humanoid narrative
3967,Murder on the Tasman Express: A radio play from ABC Radio Hobart. Episode 3,https://www.abc.net.au/listen/programs/hobart-evenings/murder-on-the-tasman-express-episode-3/103911228,Australian Broadcasting Corporation,scope_excluded,scope_excluded,fictional radio-play segment; no source-grounded local supernatural place record
3969,"Bioluminescence, tattoos and memoirs",https://www.abc.net.au/listen/programs/nightlife/nightlife/102804256,Australian Broadcasting Corporation,scope_excluded,scope_excluded,"book-title segment for The Ghost Theatre; non-Australian literary item, not local supernatural place evidence"
3971,"BTN Classroom Episode 34, 2021",https://www.abc.net.au/btn/classroom/20211123-ep34-btn/13637532,Australian Broadcasting Corporation,scope_excluded,scope_excluded,BTN quiz item about a non-Australian dog-owned mansion; not Australian place narrative evidence
3972,The killer we've invited into the lounge room,https://www.abc.net.au/radionational/programs/backgroundbriefing/killer-invited-lounge-room-woodfires-asthma-heating-winter/13396094,Australian Broadcasting Corporation,scope_excluded,scope_excluded,haunted by asthma attack is metaphorical usage
3973,"BTN Classroom Episode 7, 2020",https://www.abc.net.au/btn/classroom/20200317-ep7-btn/12049330,Australian Broadcasting Corporation,scope_excluded,scope_excluded,"ghost reef is ecological metaphor, not humanoid supernatural evidence"
3974,How to grow a new leg,https://www.abc.net.au/radionational/programs/scienceshow/how-to-grow-a-new-leg/10572634,Australian Broadcasting Corporation,scope_excluded,scope_excluded,"ghost-like newt metaphor, not supernatural humanoid evidence"
3977,"The Boyer Lectures 2004: Tales of Two Hemispheres, lecture two: Austrailure",https://www.abc.net.au/radionational/programs/bigideas/the-boyer-lectures-2004-tales-of-two-hemispheres/3427238,Australian Broadcasting Corporation,scope_excluded,scope_excluded,haunted by failure is metaphorical literary criticism
3979,"Finance News, Nightlife News Breakdown, History of Fisher's Ghost, Teck Talk, The Mighty Challenge, Issues",https://www.abc.net.au/listen/programs/nightlife/nightlife/106737102,Australian Broadcasting Corporation,scope_excluded,scope_excluded,duplicate/lead segment for Fisher's Ghost; distinct scoped ABC item retained separately
3981,Carl Jung: regaining religion,https://www.abc.net.au/listen/programs/spiritofthings/carl-jung/4438116,Australian Broadcasting Corporation,scope_excluded,scope_excluded,religion/Jung discussion from Spirit of Things; no source-grounded supernatural humanoid place narrative
3982,The Science Show 15th December 2012,https://www.abc.net.au/radionational/programs/scienceshow/the-science-show-15th-december-2012/4420920,Australian Broadcasting Corporation,scope_excluded,scope_excluded,Science Show/Daleks segment; no source-grounded supernatural humanoid place narrative
3983,Qantas and the ghost of Workchoices,https://www.abc.net.au/radionational/programs/backgroundbriefing/qantas-and-the-ghost-of-workchoices/3613246,Australian Broadcasting Corporation,scope_excluded,scope_excluded,political metaphor 'ghost of Workchoices'; no supernatural narrative evidence
3984,Albert's gift (part 1) - Lola's story,https://www.abc.net.au/listen/programs/awaye/alberts-gift-part-1---lolas-story/3670106,Australian Broadcasting Corporation,scope_excluded,scope_excluded,unrelated Awaye biographical segment; no source-stated ghost/apparition place narrative
3987,Murder on the Tasman Express: A radio play from ABC Radio Hobart. Episode 3,https://www.abc.net.au/listen/programs/hobart-evenings/murder-on-the-tasman-express-episode-3/103911228,Australian Broadcasting Corporation,scope_excluded,scope_excluded,fictional radio-play episode; not a source-grounded local supernatural place record
4000,Belarus Free Theatre co-founder Natalya Kolyada and ghost historian Jack Sim,https://www.abc.net.au/listen/programs/conversations/belarus-free-theatre-co-founder-natalya-kolyada-and-ghost-histor/7774972,Australian Broadcasting Corporation,scope_excluded,scope_excluded,"mapped place appears only in generated coordinate note/metadata, not in retained source evidence excerpt"
4001,The Ghosthunters,https://www.abc.net.au/listen/programs/streetstories/the-ghosthunters/3440124,Australian Broadcasting Corporation,scope_excluded,scope_excluded,"mapped place appears only in generated coordinate note/metadata, not in retained source evidence excerpt"
4002,Maisie Austin on her unique Territory life,https://www.abc.net.au/listen/programs/darwin-latelunch/late-lunch-with-maisie-austin/13389168,Australian Broadcasting Corporation,relevant,scope_excluded,biographical Territory interview; no explicit supernatural humanoid or apparition evidence in retained source excerpt
4003,The Ghost Songs,https://www.abc.net.au/listen/programs/intothemusic/the-ghost--songs/4694532,Australian Broadcasting Corporation,relevant,scope_excluded,Ghost Songs program is culturally sensitive music-context material; Darwin map point is not the source-stated narrative place
4004,The Ghost Songs,https://www.abc.net.au/listen/programs/radioeye/the-ghost-songs/3394234,Australian Broadcasting Corporation,relevant,scope_excluded,Ghost Songs program names a Belyuen dream-song context rather than Darwin; high-sensitivity place evidence requires explicit review before public mapping
4005,Call the Doctor,https://www.abc.net.au/news/2019-02-21/call-the-doctor/10833218,Australian Broadcasting Corporation,relevant,scope_excluded,medical documentary false positive; no supernatural humanoid or apparition evidence in retained source excerpt
4006,"Lost planes, lost men",https://www.abc.net.au/listen/programs/backgroundbriefing/lost-planes-lost-men/3292846,Australian Broadcasting Corporation,relevant,scope_excluded,warbird recovery documentary false positive; lost planes/men context is not a supernatural humanoid narrative
4007,"BTN Classroom Episode 25, 2022",https://www.abc.net.au/btn/classroom/20220830-ep25-btn/14032402,Australian Broadcasting Corporation,relevant,scope_excluded,BTN classroom episode false positive; no Australian supernatural humanoid narrative evidence
4008,Digging In: Why powering a green future means more mines,https://www.abc.net.au/news/2022-05-09/digging-in:-why-powering-a-green-future-means-more/13873540,Australian Broadcasting Corporation,relevant,scope_excluded,mining feature false positive; no supernatural humanoid or apparition evidence in retained source excerpt
4009,Tour guide shares ghost stories and chilling experiences from Port Arthur Historic Site,https://www.abc.net.au/listen/programs/hobart-your-afternoon/ghost-stories-port-arthur-historic-site/105699390,Australian Broadcasting Corporation,relevant,scope_excluded,duplicate Port Arthur ghost-tour narrative already represented by an earlier ABC canonical record
4011,"John Curtis Fishing May 13, 2017",https://www.abc.net.au/perth/programs/saturdaybreakfast/john-curtis-fishing-may-13/8529314,Australian Broadcasting Corporation,relevant,scope_excluded,"fishing segment false positive; mapped Woodman Point appears only in route metadata, not in source narrative evidence"
4013,16 February 2008,https://www.abc.net.au/radionational/programs/musicshow/16-february-2008/3288116,Australian Broadcasting Corporation,relevant,scope_excluded,music-program segment false positive; no source-grounded Fremantle supernatural humanoid narrative evidence
