record_id,external_id,source_book,section_title,current_narrative_type,current_source_label,explicit_supernatural_agent,explicit_humanoid_person_form_evidence_excerpt,supernatural_humanoid_focal_narrative_subject,eligibility_decision,corrected_source_label,corrected_humanoid_basis,corrected_narrative_type,review_note
1177,pga:0607141h:prelude-a-princess,Australian Legends,PRELUDE. A PRINCESS,traditional_narrative,PRELUDE. A PRINCESS,none,"Introductory provenance and collection context, not a story-unit supernatural humanoid.",no,exclude_from_public_corpus,,no_supernatural_humanoid_agent,descriptive_belief_record,"Prelude is collection framing, not a first-class narrative record."
1178,pga:0607141h:why-the-turtle-has-no-tail,Australian Legends,WHY THE TURTLE HAS NO TAIL,spirit_person_narrative,ghost/spirit,departed spirits,spirits of departed people travel along the Milky Way track.,no,humanoid_adjacent_context,unnamed_spirit_person,departed_spirit_person_context_not_focal,spirit_person_narrative,"Spirit-person cosmology is present, but the section is primarily an animal-origin turtle story."
1179,pga:0607141h:how-the-waratah-got-its-honey,Australian Legends,HOW THE WARATAH GOT ITS HONEY,traditional_narrative,HOW THE WARATAH GOT ITS HONEY,Krubi,Krubi is described as a girl who became a waratah.,no,traditional_context_only,Krubi,human_transformation_to_plant_context,traditional_narrative,Transformation is plant-origin context; no focal supernatural humanoid agent.
1180,pga:0607141h:what-the-moon-is,Australian Legends,WHAT THE MOON IS,spirit_person_narrative,ghost/spirit,Bunyip,A Bunyip visits the Murray-side camp in the moon-origin story.,no,traditional_context_only,Bunyip,non_humanoid_cosmological_context,traditional_narrative,Cosmological story; Bunyip is not treated as a humanoid subject here.
1181,pga:0607141h:the-dianella-berry,Australian Legends,THE DIANELLA BERRY,traditional_narrative,THE DIANELLA BERRY,spirit of the woman,The woman/spirit is associated with the dianella rush.,no,humanoid_adjacent_context,unnamed_spirit_person,transformed_woman_spirit_context,spirit_person_narrative,"Person-form transformation/spirit context exists, but the focal outcome is plant-origin."
1182,pga:0607141h:at-low-tide,Australian Legends,AT LOW TIDE,spirit_person_narrative,ghost/spirit,great white spirit,A man is taken by a great white spirit to another realm.,yes,core_supernatural_humanoid_narrative,great white spirit,explicit_spirit_person_agent,spirit_person_narrative,Supernatural person-form agent is substantive and drives the narrative frame.
1183,pga:0607141h:shooting-stars,Australian Legends,SHOOTING STARS,traditional_narrative,SHOOTING STARS,ancestor king,A great king becomes part of a shooting-star explanation.,no,traditional_context_only,unnamed_ancestor_king,ordinary_human_celestial_transformation_context,traditional_narrative,Celestial-origin material with ordinary human figure; no anomalous person-form agent is focal.
1184,pga:0607141h:a-star-legend,Australian Legends,A STAR LEGEND,traditional_narrative,A STAR LEGEND,Great Spirit,The text mentions a sacred place where the Great Spirit could be communed with.,no,humanoid_adjacent_context,Great Spirit,great_spirit_context_not_focal,spirit_person_narrative,Great Spirit is contextual; the section is principally a Pleiades/star narrative.
1185,pga:0607141h:mist-and-a-fringe-flower,Australian Legends,MIST AND A FRINGE FLOWER,traditional_narrative,MIST AND A FRINGE FLOWER,returning departed people,Departed people return to earth in human form.,yes,core_supernatural_humanoid_narrative,unnamed_spirit_person,explicit_returning_spirit_person,spirit_person_narrative,Returning human-form spirits are the focal supernatural humanoid subject.
1186,pga:0607141h:mulgani,Australian Legends,MULGANI,traditional_narrative,MULGANI,none,The section describes a type story of people and custom rather than a named entity.,no,traditional_context_only,,ordinary_human_customary_context,descriptive_belief_record,"Relevant cultural context, but no supernatural humanoid focal agent."
1187,pga:0607141h:the-legend-of-the-pleiades,Australian Legends,THE LEGEND OF THE PLEIADES,traditional_narrative,THE LEGEND OF THE PLEIADES,Yunguipan and Pleiades figures,Human figures are placed among the stars after the narrative.,no,humanoid_adjacent_context,Yunguipan,celestial_transformation_context,traditional_narrative,Celestial-origin story with transformed humans; not a first-class supernatural humanoid record.
1188,pga:e00021:bahloo-the-moon-and-the-daens,Australian Legendary Tales,Bahloo the Moon and the Daens,spirit_person_narrative,Bahloo,Bahloo,"Bahloo the moon looks down, speaks, and acts upon earth people.",yes,core_supernatural_humanoid_narrative,Bahloo,explicit_nonordinary_person_form_agent,spirit_person_narrative,Named nonordinary moon being is focal and person-acting.
1189,pga:e00021:the-origin-of-the-narran-lake,Australian Legendary Tales,The Origin of the Narran Lake,spirit_person_narrative,Byamee,Byamee,Old Byamee directs his wives and shapes the Narran landscape.,yes,core_supernatural_humanoid_narrative,Byamee,explicit_ancestral_spirit_person_agent,spirit_person_narrative,Named ancestral/culture-hero figure is focal.
1190,pga:e00021:the-mayamah,Australian Legendary Tales,The Mayamah,spirit_person_narrative,Mayamah,Mayamah,Enemies and camp objects are turned to patterned stones.,no,traditional_context_only,Mayamah,stone_transformation_context_not_humanoid,traditional_narrative,Transformation-to-stone place tradition; no focal humanoid supernatural being.
1191,pga:e00021:mullyangah-the-morning-star,Australian Legendary Tales,Mullyangah the Morning Star,giant_or_ogre_narrative,Mullyangah,Mullyan,Mullyan is an eagle hawk cannibal figure.,no,non_humanoid_narrative,Mullyan,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form cannibal/origin narrative; excluded from public humanoid corpus count.
1192,pga:e00021:mooregoo-the-mopoke-and-bahloo-the-moon,Australian Legendary Tales,"Mooregoo the Mopoke, and Bahloo the Moon",spirit_person_narrative,Mooregoo,Bahloo,Bahloo the moon comes to camp and asks for a rug.,yes,core_supernatural_humanoid_narrative,Bahloo,explicit_nonordinary_person_form_agent,spirit_person_narrative,Bahloo is a named nonordinary person-acting focal agent.
1193,pga:e00021:ouyan-the-curlew,Australian Legendary Tales,Ouyan the Curlew,traditional_narrative,Ouyan,Ouyan,Ouyan is framed as the curlew in an animal-person hunting tale.,no,non_humanoid_narrative,Ouyan,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form narrative; excluded from public humanoid corpus count.
1194,pga:e00021:goonur-the-woman-doctor,Australian Legendary Tales,"Goonur, the Woman-Doctor",traditional_narrative,Goonur,Goonur,Goonur restores life through her doctor knowledge.,no,humanoid_adjacent_context,Goonur,supernatural_practitioner_humanoid_adjacent,spirit_person_narrative,"A nonordinary human practitioner appears, but the row is retained as adjacent context rather than core."
1195,pga:e00021:deereeree-the-wagtail-and-the-rainbow,Australian Legendary Tales,"Deereeree the Wagtail, and the Rainbow",traditional_narrative,Deereeree,Deereeree,Deereeree is a wagtail figure in an animal/rainbow story.,no,non_humanoid_narrative,Deereeree,non_humanoid_animal_person_narrative,traditional_narrative,Animal-form narrative; excluded from public humanoid corpus count.
1196,pga:e00021:bougoodoogahdah-the-rain-bird,Australian Legendary Tales,Bougoodoogahdah the Rain Bird,traditional_narrative,Bougoodoogahdah,Bougoodoogahdah,An old woman lives with dingoes and obtains human flesh.,no,traditional_context_only,Bougoodoogahdah,cannibal_old_woman_context_not_supernatural,traditional_narrative,Ogre-like but not clearly supernatural/anomalous; retained as context.
1197,pga:e00021:the-borah-of-byamee,Australian Legendary Tales,The Borah of Byamee,spirit_person_narrative,Byamee,Byamee,Byamee is a great Wirreenun and invisible spirits assist the borah.,yes,core_supernatural_humanoid_narrative,Byamee,explicit_ancestral_spirit_person_agent,spirit_person_narrative,Named ancestral/culture-hero figure and spirit helpers are substantive.
1198,pga:e00021:deegeenboyah-the-soldier-bird,Australian Legendary Tales,Deegeenboyah the Soldier-bird,traditional_narrative,Deegeenboyah,Deegeenboyah,Deegeenboyah is an old man in a bird-origin story.,no,traditional_context_only,Deegeenboyah,ordinary_to_animal_context_not_humanoid,traditional_narrative,"Traditional context with transformation/origin framing, not a supernatural humanoid subject."
1199,pga:e00021:wayarnbeh-the-turtle,Australian Legendary Tales,Wayarnbeh the Turtle,traditional_narrative,Wayarnbeh,Wayarnbeh,A transformed figure appears as a turtle-like creature.,no,non_humanoid_narrative,Wayarnbeh,non_humanoid_animal_transformation_narrative,traditional_narrative,Animal-origin/transformation narrative; excluded from public humanoid corpus count.
1200,pga:e00021:wirreenun-the-rainmaker,Australian Legendary Tales,Wirreenun the Rainmaker,spirit_person_narrative,Wirreenun,Wirreenun,The Wirreenun is invoked as one who can make rain fall.,yes,core_supernatural_humanoid_narrative,Wirreenun,explicit_supernatural_practitioner_agent,spirit_person_narrative,Nonordinary person-form rainmaker is the focal agent.
1201,pga:1900611h:beereeun-the-mirage-maker,More Australian Legendary Tales,Beereeun the Mirage Maker,spirit_person_narrative,Beereeun,Beereeun,Beereeun is called a great wirreenun who can harm others.,no,humanoid_adjacent_context,Beereeun,animal_form_wirreenun_adjacent,spirit_person_narrative,"Supernatural power is present, but the named figure is animal-form; retained as adjacent context."
1202,pga:1900611h:gheeger-gheeger-the-cold-west-wind,More Australian Legendary Tales,Gheeger Gheeger the Cold West Wind,giant_or_ogre_narrative,Gheeger Gheeger,Wahn,Wahn sends his dream spirit to discover the trap.,no,humanoid_adjacent_context,Wahn,animal_form_wirreenun_dream_spirit_context,spirit_person_narrative,Wirreenun/dream-spirit material is adjacent; focal figures are animal-form.
1203,pga:1900611h:bilber-and-mayrah,More Australian Legendary Tales,Bilber and Mayrah,traditional_narrative,Bilber and Mayrah,Mayrah,Mayrah the wind is invisible but converses as Bilber’s mate.,no,humanoid_adjacent_context,Mayrah,invisible_nonordinary_companion_context,spirit_person_narrative,Invisible companion is supernatural-adjacent but not clearly humanoid/person-form as a first-class agent.
1204,pga:1900611h:bralgah-the-dancing-bird,More Australian Legendary Tales,Brälgah the Dancing Bird,traditional_narrative,Brälgah,Wurrawilberoo,The Wurrawilberoo are cannibals opposed by wirreenuns and dream spirits.,yes,core_supernatural_humanoid_narrative,Wurrawilberoo,explicit_ogre_like_person_agents,giant_or_ogre_narrative,Ogre-like cannibal beings are focal antagonists.
1205,pga:1900611h:piggiebillah-the-porcupine,More Australian Legendary Tales,Piggiebillah the Porcupine,giant_or_ogre_narrative,ghost/spirit,Piggiebillah,The text calls Piggiebillah a giant who eats men.,yes,core_supernatural_humanoid_narrative,Piggiebillah,explicit_giant_cannibal_person_agent,giant_or_ogre_narrative,Giant cannibal person/ogre framing qualifies as core.
1206,pga:1900611h:wurrunnahs-trip-to-the-sea,More Australian Legendary Tales,Wurrunnah’s Trip to the Sea,spirit_person_narrative,Byamee,Earmoonän,The creature has a dog body with feet of a woman.,yes,core_supernatural_humanoid_narrative,Earmoonän,anomalous_hybrid_person_form_agent,spirit_person_narrative,Anomalous hybrid with explicit person-form anatomy is a substantive encounter figure.
1207,pga:0607141h:the-first-waratah,Australian Legends,THE FIRST WARATAH,traditional_narrative,THE FIRST WARATAH,Krubi,The section frames the first waratah and Krubi tradition.,no,traditional_context_only,Krubi,plant_origin_context_not_humanoid,traditional_narrative,Plant-origin tradition; retained as context only.
1208,pga:0607141h:the-first-gymea-or-gigantic-lily,Australian Legends,THE FIRST GYMEA OR GIGANTIC LILY,giant_or_ogre_narrative,THE FIRST GYMEA OR GIGANTIC LILY,unnamed spirit,A spirit comes from the glen associated with the flower story.,no,humanoid_adjacent_context,unnamed_spirit_person,spirit_place_context_not_focal,spirit_person_narrative,"Spirit context exists, but focal section is a plant-origin/natural-feature narrative."
1209,pga:0607141h:the-flood,Australian Legends,THE FLOOD,traditional_narrative,THE FLOOD,none,The section is a flood/deluge tradition.,no,traditional_context_only,,cosmological_flood_context_not_humanoid,traditional_narrative,Flood/cosmological context; no focal supernatural humanoid subject.
1210,pga:0607141h:the-story,Australian Legends,THE STORY,traditional_narrative,THE STORY,Krubi,A later Krubi naming/waratah story follows the original transformation.,no,traditional_context_only,Krubi,plant_origin_context_not_humanoid,traditional_narrative,Plant/name tradition; no focal supernatural humanoid subject.
1211,pga:0607141h:why-the-sun-sets,Australian Legends,WHY THE SUN SETS,traditional_narrative,WHY THE SUN SETS,human ancestor/sun figure,"The sun is described as an ancestor, a human who became a god.",no,humanoid_adjacent_context,human_shaped_ancestral_figure,solar_ancestor_deification_context,spirit_person_narrative,Solar/cosmological story with person-form ancestry; retained as adjacent context.
1212,pga:0607141h:how-the-white-waratah-became-red,Australian Legends,HOW THE WHITE WARATAH BECAME RED,traditional_narrative,HOW THE WHITE WARATAH BECAME RED,none,The section explains colour change in waratahs.,no,traditional_context_only,,plant_origin_context_not_humanoid,traditional_narrative,Plant-origin narrative; no supernatural humanoid focal agent.
1213,pga:0607141h:how-the-sky-was-lifted-up,Australian Legends,HOW THE SKY WAS LIFTED UP,traditional_narrative,HOW THE SKY WAS LIFTED UP,unnamed ancestral people,A low-sky cosmological story includes people and spirit markings.,no,traditional_context_only,human_shaped_ancestral_figure,cosmological_context_not_humanoid,traditional_narrative,Cosmological context; ordinary people/ritual marks are not enough for core status.
1214,pga:0607141h:the-first-kangaroo,Australian Legends,THE FIRST KANGAROO,traditional_narrative,THE FIRST KANGAROO,great spirit,A great spirit is credited with sending food in a kangaroo-origin story.,no,traditional_context_only,great spirit,animal_origin_context_not_humanoid,traditional_narrative,Animal-origin narrative; great-spirit reference is contextual only.
1215,pga:0607141h:the-second-kangaroo-story,Australian Legends,THE SECOND KANGAROO STORY,giant_or_ogre_narrative,THE SECOND KANGAROO STORY,giant kangaroo,A giant kangaroo threat appears in the kangaroo-origin story.,no,non_humanoid_narrative,giant kangaroo,non_humanoid_giant_animal_narrative,traditional_narrative,Giant animal-origin narrative; excluded from public humanoid corpus count.
1216,pga:0607141h:the-struggle-for-supremacy-between-birds-and-animals,Australian Legends,THE STRUGGLE FOR SUPREMACY BETWEEN BIRDS AND ANIMALS.,traditional_narrative,THE STRUGGLE FOR SUPREMACY BETWEEN BIRDS AND ANIMALS.,none,Birds and animals contest supremacy in the story.,no,non_humanoid_narrative,,non_humanoid_bird_animal_narrative,traditional_narrative,Animal/bird narrative; excluded from public humanoid corpus count.
1217,pga:0607141h:how-the-pistils-of-the-waratah-became-firm,Australian Legends,HOW THE PISTILS OF THE WARATAH BECAME FIRM,traditional_narrative,HOW THE PISTILS OF THE WARATAH BECAME FIRM,Wirrawaa,A woman asks that Wirrawaa return from the spirit world.,no,humanoid_adjacent_context,Wirrawaa,return_from_spirit_world_context,spirit_person_narrative,Spirit return is contextual to a plant-origin story; retained as adjacent context.
1218,pga:0607141h:what-makes-the-waves,Australian Legends,WHAT MAKES THE WAVES,traditional_narrative,WHAT MAKES THE WAVES,unnamed spirit,A spirit appears in the form of another Aboriginal man.,yes,core_supernatural_humanoid_narrative,unnamed_spirit_person,explicit_spirit_person_agent,spirit_person_narrative,Spirit-person figure is a substantive narrative subject.
1219,pga:0607141h:the-first-bush-fire,Australian Legends,THE FIRST BUSH FIRE,spirit_person_narrative,THE FIRST BUSH FIRE,none,The story centers on a girl making the first bush fire.,no,traditional_context_only,,ordinary_human_origin_context,traditional_narrative,"Origin story with ordinary human action, not a supernatural humanoid subject."
1220,pga:0607141h:why-leaves-fall,Australian Legends,WHY LEAVES FALL,traditional_narrative,WHY LEAVES FALL,rain spirit,"A seeker goes to find the rain spirit, whose stamping makes rain.",yes,core_supernatural_humanoid_narrative,unnamed_rain_spirit,explicit_spirit_person_agent,spirit_person_narrative,Rain spirit is a focal supernatural agent.
1221,pga:0607141h:the-bubbling-spring,Australian Legends,THE BUBBLING SPRING,traditional_narrative,THE BUBBLING SPRING,Krubi and seal spirits,Great seals are spirits and Krubi remains beneath the spring.,no,humanoid_adjacent_context,Krubi,spirit_transformation_context_not_humanoid,spirit_person_narrative,"Spirit transformation/place context, but focal spirits are seal-form rather than humanoid."
1222,pga:0607141h:the-salt-lakes,Australian Legends,THE SALT LAKES,spirit_person_narrative,THE SALT LAKES,boner/sorcerer,The section describes compelling one’s spirit from the body and boning.,no,humanoid_adjacent_context,unnamed_sorcerer,sorcerer_and_spirit_context,descriptive_belief_record,Belief/practitioner context; not a first-class supernatural humanoid narrative.
1223,pga:0607141h:why-the-petiole-of-the-waratah-is-long,Australian Legends,WHY THE PETIOLE OF THE WARATAH IS LONG.,traditional_narrative,WHY THE PETIOLE OF THE WARATAH IS LONG.,invoked spirits,A man invokes spirits while seeking aid in the plant-origin story.,no,humanoid_adjacent_context,unnamed_spirit_person,invoked_spirits_context_not_focal,spirit_person_narrative,Spirit invocation is contextual to a plant-origin explanation.
1224,pga:0607141h:why-the-waratah-is-firm,Australian Legends,WHY THE WARATAH IS FIRM.,spirit_person_narrative,WHY THE WARATAH IS FIRM.,Warmeela,Warmeela/Krubi material explains waratah firmness.,no,traditional_context_only,Warmeela,ordinary_human_plant_origin_context,traditional_narrative,Plant-origin story with ordinary human figures; no supernatural humanoid focal agent.
1225,pga:0607141h:the-first-crayfish,Australian Legends,THE FIRST CRAYFISH,traditional_narrative,THE FIRST CRAYFISH,Krubi,A crayfish-origin episode involves Krubi and blood colouring.,no,non_humanoid_narrative,Krubi,animal_origin_context_not_humanoid,traditional_narrative,Animal-origin narrative; excluded from public humanoid corpus count.
1226,pga:0607141h:the-clinging-koala,Australian Legends,THE CLINGING KOALA,traditional_narrative,THE CLINGING KOALA,Bunyip family / unnamed spirit,The koala is said to be of the bunyip family and aided by spirit.,no,humanoid_adjacent_context,Bunyip,non_humanoid_bunyip_family_context,traditional_narrative,"Non-humanoid supernatural animal context, retained as adjacent context."
1227,pga:0607141h:the-smilax,Australian Legends,THE SMILAX,traditional_narrative,THE SMILAX,wullun,A wullun is described as a fairy or goblin belief.,no,humanoid_adjacent_context,wullun,fairy_goblin_belief_context_not_focal,spirit_person_narrative,"Potential person-like being is belief context, not the focal story unit."
1228,pga:0607141h:a-bird-legend,Australian Legends,A BIRD LEGEND,traditional_narrative,A BIRD LEGEND,none,The section discusses animal affinity/totem belief context.,no,traditional_context_only,,totemic_animal_context_not_humanoid,traditional_narrative,"Contextual traditional material, not a supernatural humanoid narrative."
1229,pga:0607141h:two-waratah-legends,Australian Legends,TWO WARATAH LEGENDS,traditional_narrative,TWO WARATAH LEGENDS,none,The section introduces waratah legends and plant-origin material.,no,traditional_context_only,,plant_origin_context_not_humanoid,traditional_narrative,Plant-origin context only.
1230,pga:0607141h:another-legend,Australian Legends,ANOTHER LEGEND,traditional_narrative,ANOTHER LEGEND,unnamed returning spirits,The Milky Way is a track where spirits may return in human form.,no,humanoid_adjacent_context,unnamed_spirit_person,returning_spirit_context_not_focal,spirit_person_narrative,Spirit-person cosmology is present but not focal enough for first-class status.
1231,pga:0607141h:the-black-satin,Australian Legends,THE BLACK SATIN,giant_or_ogre_narrative,THE BLACK SATIN,none,The section concerns the black satin bird/forest story.,no,non_humanoid_narrative,,non_humanoid_bird_origin_narrative,traditional_narrative,Bird/natural-origin narrative; excluded from public humanoid corpus count.
1232,pga:e00021:dinewan-the-emu-and-goomblegubbon-the-bustard,Australian Legendary Tales,"Dinewan The Emu, And Goomblegubbon The Bustard",traditional_narrative,Dinewan The Emu,Dinewan,Dinewan is an emu king among birds.,no,non_humanoid_narrative,Dinewan,non_humanoid_bird_person_narrative,traditional_narrative,"Bird-person tale, not a supernatural humanoid narrative."
1233,pga:e00021:the-galah-and-oolah-the-lizard,Australian Legendary Tales,"The Galah, and Oolah the Lizard",traditional_narrative,The Galah,Oolah,Oolah the lizard plays with boomerangs.,no,non_humanoid_narrative,Oolah,non_humanoid_animal_person_narrative,traditional_narrative,Animal-person tale; excluded from public humanoid corpus count.
1234,pga:e00021:gooloo-the-magpie-and-the-wahroogah,Australian Legendary Tales,"Gooloo the Magpie, and the Wahroogah",traditional_narrative,Gooloo,Gooloo,Gooloo is an old woman figure in the story.,no,traditional_context_only,Gooloo,old_woman_traditional_context_not_supernatural,traditional_narrative,Person-form but not clearly supernatural/anomalous; retained as context.
1235,pga:e00021:the-weeoonibeens-and-the-piggiebillah,Australian Legendary Tales,The Weeoonibeens and the Piggiebillah,traditional_narrative,Piggiebillah,Piggiebillah,Piggiebillah is strong and associated with an animal-origin episode.,no,non_humanoid_narrative,Piggiebillah,non_humanoid_animal_person_context,traditional_narrative,Animal-person/origin narrative; excluded from public humanoid corpus count.
1236,pga:e00021:bootoolgah-the-crane-and-goonur-the-kangaroo-rat-the-fire-makers,Australian Legendary Tales,"Bootoolgah the Crane and Goonur the Kangaroo Rat, the Fire Makers",traditional_narrative,Goonur,Bootoolgah and Goonur,The crane and kangaroo rat are fire makers.,no,non_humanoid_narrative,Bootoolgah and Goonur,non_humanoid_animal_person_narrative,traditional_narrative,Animal-person fire-origin tale; excluded from public humanoid corpus count.
